complaint_id,complaint_text,category,priority,department,location,date_submitted,status
1,Noise disturbance at night,Police/Safety,Medium,Police/Safety,Kolkata,2025-03-25,In Progress
2,Overflowing dustbins in the area,Sanitation,High,Sanitation,Chennai,2025-07-04,Pending
3,Shortage of medicines in health center,Health,Medium,Health,Ranchi,2024-08-14,Resolved
4,Vaccination not available in local clinic,Health,Medium,Health,Mumbai,2024-06-09,In Progress
5,UPI payment fraud reported,IT Fraud,Medium,IT Fraud,Hyderabad,2025-02-19,Resolved
6,Illegal activities happening nearby,Police/Safety,High,Police/Safety,Bangalore,2024-02-01,Pending
7,Overflowing dustbins in the area,Sanitation,High,Sanitation,Kolkata,2024-04-17,Resolved
8,Huge pothole near school entrance,Roads,Medium,Roads,Patna,2024-06-29,In Progress
9,Electric pole wire hanging dangerously,Electricity,Low,Electricity,Ranchi,2024-08-22,Resolved
10,Pension not credited this month,Government Services,Low,Government Services,Chennai,2024-02-16,Resolved
11,Dirty water coming from taps,Water,High,Water,Chennai,2024-09-06,Resolved
12,Street lights not working,Electricity,Low,Electricity,Chennai,2025-01-31,Pending
13,Ambulance service delayed during emergency,Health,Medium,Health,Kolkata,2024-11-05,Pending
14,Fake job website asking money,IT Fraud,High,IT Fraud,Patna,2024-03-09,In Progress
15,No water supply for last two days,Water,High,Water,Bangalore,2024-07-22,Pending
16,Poor infrastructure in government school,Education,High,Education,Ranchi,2025-05-21,In Progress
17,Fake job website asking money,IT Fraud,Low,IT Fraud,Delhi,2024-06-12,Pending
18,Ambulance service delayed during emergency,Health,High,Health,Mumbai,2024-04-30,In Progress
19,Delay in issuing birth certificate,Government Services,Medium,Government Services,Bangalore,2024-01-25,Pending
20,Vaccination not available in local clinic,Health,Medium,Health,Chennai,2024-11-15,In Progress
21,No doctor available in government hospital,Health,Low,Health,Bangalore,2024-10-20,In Progress
22,Huge pothole near school entrance,Roads,High,Roads,Mumbai,2024-08-06,Resolved
23,Frequent power cuts in our area,Electricity,Medium,Electricity,Mumbai,2025-08-14,Resolved
24,Train ticket booking issue,Transport,Low,Transport,Bangalore,2024-11-26,In Progress
